Address,Time,Current Speed,FreeFlow Speed,Jam Factor,Confidence
Vanivilas Road,2019-10-26T02:47:57Z,17.0,34.0,5.59663,0.7
Gandhi Bazar Road,2019-10-26T02:47:57Z,18.0,31.0,4.32258,0.7
Tagore Circle/Basavangudi,2019-10-26T02:47:57Z,25.0,37.0,3.24324,0.7
Dewan Madhava Rao Road/Mallika Arjuna Temple Road,2019-10-26T02:47:57Z,9.0,21.0,5.83673,0.7
Nettakallappa Circle,2019-10-26T02:47:57Z,13.0,27.0,5.53439,0.7
South End Road,2019-10-26T02:47:57Z,12.0,27.0,6.06349,0.7
27th Cross Road,2019-10-26T02:47:57Z,13.0,25.0,4.85714,0.7
South End Road,2019-10-26T02:47:17Z,14.0,28.0,5.32653,0.7
Nettakallappa Circle,2019-10-26T02:47:17Z,11.0,23.0,5.30434,0.7
Dewan Madhava Rao Road/Mallika Arjuna Temple Road,2019-10-26T02:47:17Z,9.0,19.0,4.97744,0.7
Tagore Circle/Basavangudi,2019-10-26T02:47:17Z,14.0,26.0,4.65934,0.7
Gandhi Bazar Road,2019-10-26T02:47:17Z,24.0,40.0,4.35714,0.7
Vanivilas Road,2019-10-26T02:47:17Z,14.0,33.0,6.64069,0.7
Kondoji Basappa Road/Shiva Shankar Circle/Puttanna Chetty Road,2019-10-26T02:47:17Z,17.0,31.0,4.78341,0.7
A. V. Road/Albert Victor Road/Ima Circle,2019-10-26T02:47:17Z,9.0,23.0,6.54658,0.7
Rashitriya Vidyalaya Road/4th Main Road/Elephant Rock Road,2019-10-26T02:47:17Z,18.0,36.0,5.66666,0.7
10th Main Road,2019-10-26T02:47:17Z,11.0,25.0,5.99999,0.7
Rashitriya Vidyalaya Road/4th Main Road/Elephant Rock Road,2019-10-26T02:47:57Z,10.0,23.0,5.92546,0.7
Nettakallappa Circle,2019-10-26T02:47:19Z,11.0,22.0,4.90909,0.7
Dvgi Road/Nagasandra Main Road,2019-10-26T02:47:19Z,8.0,20.0,6.14285,0.7
Sai Baba Mandir Road/Sannidhi Road,2019-10-26T02:47:19Z,10.0,26.0,6.85714,0.7
Sai Baba Mandir Road/Sannidhi Road,2019-10-26T02:47:07Z,11.0,26.0,6.30769,0.7
Dvgi Road/Nagasandra Main Road,2019-10-26T02:47:07Z,10.0,22.0,5.55844,0.7
